City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
192,Mehamn,NO,71.0357,27.8492,40.95,65,0,10.36,clear sky
193,Qaqortoq,GL,60.7167,-46.0333,39.76,70,83,6.22,broken clouds
194,Constitucion,CL,-35.3333,-72.4167,61.3,72,91,8.79,overcast clouds
195,Upernavik,GL,72.7868,-56.1549,22.42,77,67,4.72,broken clouds
196,Torata,PE,-17.0769,-70.8433,68.76,18,5,11.92,clear sky
197,Yulara,AU,-25.2406,130.9889,67.6,30,100,11.25,light rain
198,Esperance,AU,-33.8667,121.9,50.11,86,39,10.51,scattered clouds
199,Bonfim,BR,3.0833,-59.95,91.85,46,47,5.77,scattered clouds
200,Ewo,CG,-0.8725,14.8206,73.15,91,88,4.68,moderate rain
201,Antanifotsy,MG,-19.65,47.3167,52.83,70,0,1.81,clear sky
202,Butajira,ET,8.1167,38.3667,58.55,88,90,2.48,light rain
203,Noumea,NC,-22.2763,166.4572,67.98,85,97,8.77,overcast clouds
204,Praia,CV,14.9215,-23.5087,86.54,79,40,18.41,scattered clouds
205,Clyde River,CA,70.4692,-68.5914,28.63,93,100,21.85,light snow
206,Surat Thani,TH,9.1667,99.25,81.21,100,89,9.13,light rain
207,Hovd,MN,48.0056,91.6419,26.24,31,0,3.6,clear sky
208,Ola,RU,59.5833,151.2833,32.88,64,3,10.33,clear sky
209,Itarema,BR,-2.9248,-39.9167,85.26,59,16,18.19,few clouds
210,Monrovia,LR,6.3005,-10.7969,80.37,86,78,7.54,light rain
211,Mangla,PK,31.8931,72.3817,83.3,41,0,7.74,clear sky
212,Jackson,US,42.4165,-122.8345,63.91,56,7,1.01,clear sky
213,Iracoubo,GF,5.4802,-53.2011,85.14,66,15,14.58,few clouds
214,Najran,SA,17.4924,44.1277,79.45,15,30,2.33,scattered clouds
215,Katsuura,JP,35.1333,140.3,72.1,84,47,12.24,scattered clouds
216,Beringovskiy,RU,63.05,179.3167,39.92,82,100,23.44,overcast clouds
217,Samarinda,ID,-0.5,117.15,75.0,98,46,1.86,scattered clouds
218,Ribeira Grande,PT,38.5167,-28.7,73.8,56,40,6.91,scattered clouds
219,Lazaro Cardenas,MX,17.9583,-102.2,85.08,70,53,3.83,broken clouds
220,Ponta Do Sol,PT,32.6667,-17.1,74.71,83,87,3.38,overcast clouds
221,Necochea,AR,-38.5473,-58.7368,65.89,43,38,7.92,scattered clouds
222,Udachnyy,RU,66.4167,112.4,16.0,97,98,4.25,overcast clouds
223,Aswan,EG,24.0934,32.907,101.5,10,0,4.61,clear sky
224,Leshukonskoye,RU,64.8989,45.7622,37.96,97,100,8.46,overcast clouds
225,Hamilton,US,39.1834,-84.5333,70.75,52,0,10.36,clear sky
226,Coahuayana,MX,18.7333,-103.6833,87.8,62,18,4.83,few clouds
227,Williston,US,48.147,-103.618,72.03,45,80,1.99,broken clouds
228,Aden,YE,12.7794,45.0367,87.93,68,15,11.01,few clouds
229,Esmeraldas,BR,-19.7625,-44.3139,80.71,63,87,9.66,overcast clouds
230,Lakes Entrance,AU,-37.8811,147.981,46.17,79,67,9.1,broken clouds
231,Port-Gentil,GA,-0.7193,8.7815,80.56,78,75,12.66,broken clouds
232,Vardo,NO,70.3705,31.1107,42.78,75,75,14.97,broken clouds
233,Fuerte Olimpo,PY,-21.0415,-57.8738,78.87,61,96,3.56,overcast clouds
234,Pierre,US,44.3683,-100.351,79.29,38,0,17.27,clear sky
235,Kirkuk,IQ,35.4681,44.3922,84.02,11,0,1.77,clear sky
236,Minab,IR,27.1467,57.0801,84.69,69,0,3.49,clear sky
237,New Norfolk,AU,-42.7826,147.0587,39.7,71,2,2.93,clear sky
238,Baglan,AF,36.1307,68.7083,71.91,28,34,3.06,scattered clouds
239,Batemans Bay,AU,-35.7167,150.1833,56.1,85,100,7.02,light rain
240,Ilulissat,GL,69.2167,-51.1,31.75,81,100,1.1,overcast clouds
241,Baykit,RU,61.67,96.37,26.87,74,25,3.24,scattered clouds
242,Mayumba,GA,-3.432,10.6554,74.98,90,100,5.86,overcast clouds
243,Vestmannaeyjar,IS,63.4427,-20.2734,50.99,93,40,9.22,scattered clouds
244,Port Lincoln,AU,-34.7333,135.8667,52.61,88,0,10.36,clear sky
245,Taltal,CL,-25.4,-70.4833,63.23,64,16,6.73,few clouds
246,Santa Rosa,PH,14.3122,121.1114,80.58,89,19,5.37,few clouds
247,Bubaque,GW,11.2833,-15.8333,79.54,80,100,12.44,overcast clouds
248,Svetlogorsk,BY,52.6333,29.7333,57.38,77,100,2.95,overcast clouds
249,Havre-Saint-Pierre,CA,50.2334,-63.5986,52.16,76,0,19.57,clear sky
250,Egyek,HU,47.6333,20.9,55.98,90,73,6.82,broken clouds
251,Mount Isa,AU,-20.7333,139.5,69.57,32,99,6.91,overcast clouds
252,Lasa,IT,46.6166,10.7002,54.48,97,100,1.72,overcast clouds
253,Namibe,AO,-15.1961,12.1522,65.84,90,56,7.54,broken clouds
254,Mirnyy,RU,62.5353,113.9611,17.24,92,99,1.99,overcast clouds
255,Hermiston,US,45.8404,-119.2895,70.72,60,100,6.91,overcast clouds
256,Palmer,US,42.1584,-72.3287,61.92,62,75,1.01,broken clouds
257,Ahipara,NZ,-35.1667,173.1667,60.71,94,100,8.93,overcast clouds
258,Huautla,MX,21.0333,-98.2833,76.39,57,5,3.65,clear sky
259,Saint-Pierre,RE,-21.3393,55.4781,69.48,73,0,9.22,clear sky
260,Moron,AR,-34.6534,-58.6198,70.81,52,24,7.09,few clouds
261,Obo,CF,5.3998,26.4869,69.13,90,87,2.73,overcast clouds
262,Londonderry,GB,54.9981,-7.3093,53.33,87,75,17.27,shower rain
263,Half Moon Bay,US,37.4636,-122.4286,82.9,63,0,3.44,clear sky
264,Lubango,AO,-14.9172,13.4925,64.27,69,70,6.15,broken clouds
265,Eureka,US,40.8021,-124.1637,73.2,51,0,4.76,clear sky
266,Isangel,VU,-19.55,169.2667,74.19,84,4,8.21,clear sky
267,Sokoni,TZ,-6.4333,39.55,76.86,79,6,15.19,clear sky
268,Jhang,PK,33.6748,72.6963,80.62,50,0,6.33,clear sky
269,Mecca,SA,21.4267,39.8261,85.51,55,0,2.48,clear sky
270,Sechelt,CA,49.4664,-123.7694,66.29,74,33,3.74,scattered clouds
271,Pisco,PE,-13.7,-76.2167,66.02,72,0,9.22,clear sky
272,Opuwo,NA,-18.0607,13.84,77.54,27,49,15.21,scattered clouds
273,Kununurra,AU,-15.7667,128.7333,75.18,88,75,3.44,broken clouds
274,Saint-Augustin,CA,51.226,-58.6502,61.68,46,10,19.1,clear sky
