City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
218,Ribeira Grande,PT,73.8,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
220,Ponta Do Sol,PT,74.71,overcast clouds,32.6667,-17.1,Hotel do Campo
221,Necochea,AR,65.89,scattered clouds,-38.5473,-58.7368,dyd -mar Hotel
225,Hamilton,US,70.75,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
227,Williston,US,72.03,broken clouds,48.147,-103.618,Hampton Inn & Suites Williston
233,Fuerte Olimpo,PY,78.87,overcast clouds,-21.0415,-57.8738,Hospedaje DAMI
234,Pierre,US,79.29,clear sky,44.3683,-100.351,Ramkota Hotel
238,Baglan,AF,71.91,scattered clouds,36.1307,68.7083,Habibullah MOsazai
239,Batemans Bay,AU,56.1,light rain,-35.7167,150.1833,Batemans Bay Marina Resort
242,Mayumba,GA,74.98,overcast clouds,-3.432,10.6554,LIKWALE LODGE
243,Vestmannaeyjar,IS,50.99,scattered clouds,63.4427,-20.2734,Glamping & Camping
244,Port Lincoln,AU,52.61,clear sky,-34.7333,135.8667,Port Lincoln Hotel
245,Taltal,CL,63.23,few clouds,-25.4,-70.4833,Residencial Karime
247,Bubaque,GW,79.54,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
248,Svetlogorsk,BY,57.38,overcast clouds,52.6333,29.7333,Hotel Svetlogorsk JBIK
249,Havre-Saint-Pierre,CA,52.16,clear sky,50.2334,-63.5986,Auberge Niapiskau 2
250,Egyek,HU,55.98,broken clouds,47.6333,20.9,Márton Eszter
251,Mount Isa,AU,69.57,overcast clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
252,Lasa,IT,54.48,overcast clouds,46.6166,10.7002,Pension Feldgärtenhof
253,Namibe,AO,65.84,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
255,Hermiston,US,70.72,overcast clouds,45.8404,-119.2895,Oxford Suites Hermiston
256,Palmer,US,61.92,broken clouds,42.1584,-72.3287,Wedgewood Motel
257,Ahipara,NZ,60.71,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
258,Huautla,MX,76.39,clear sky,21.0333,-98.2833,Hotel Huautla
259,Saint-Pierre,RE,69.48,clear sky,-21.3393,55.4781,Alize Plage
260,Moron,AR,70.81,few clouds,-34.6534,-58.6198,Hotel Morón
261,Obo,CF,69.13,overcast clouds,5.3998,26.4869,
262,Londonderry,GB,53.33,shower rain,54.9981,-7.3093,The Waterfoot Hotel
264,Lubango,AO,64.27,broken clouds,-14.9172,13.4925,Hotel Serra da Chela
265,Eureka,US,73.2,clear sky,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
266,Isangel,VU,74.19,clear sky,-19.55,169.2667,Tanna Lodge
267,Sokoni,TZ,76.86,clear sky,-6.4333,39.55,Ujamaa Beach Resort
270,Sechelt,CA,66.29,scattered clouds,49.4664,-123.7694,The Driftwood Inn
271,Pisco,PE,66.02,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
273,Kununurra,AU,75.18,broken clouds,-15.7667,128.7333,Hotel Kununurra
274,Saint-Augustin,CA,61.68,clear sky,51.226,-58.6502,Riverview Inn
276,Wewak,PG,77.14,overcast clouds,-3.5534,143.6268,In Wewak Boutique Hotel
279,Ghelinta,RO,58.77,few clouds,45.95,26.2333,Bordo
282,Kruisfontein,ZA,64.89,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
283,Belmonte,BR,75.81,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
284,Hambantota,LK,79.29,overcast clouds,6.1241,81.1185,Bungalow 63
285,Novouzensk,RU,63.59,overcast clouds,50.4592,48.1431,Gostinichnyy Domik
287,North Bend,US,67.15,mist,43.4065,-124.2243,Red Lion Hotel Coos Bay
289,Kurovskoye,RU,57.09,overcast clouds,55.5783,38.9108,Arm-Prestizh
290,Severo-Kurilsk,RU,50.85,light rain,50.6789,156.125,Kak Doma
291,Poanas,MX,74.93,clear sky,25.7667,-103.6167,La Quienta El Enjambre
292,Weyburn,CA,66.42,broken clouds,49.6668,-103.8511,Perfect Inns & Suites
293,Chimbote,PE,66.29,overcast clouds,-9.0853,-78.5783,Hotel Briliá
295,Namatanai,PG,79.03,scattered clouds,-3.6667,152.4333,Seagulls Inn Namatani
296,Luganville,VU,76.1,few clouds,-15.5333,167.1667,The Espiritu Hotel
298,La Ronge,CA,50.25,overcast clouds,55.1001,-105.2842,Northland Motor Hotel
302,Broome,US,59.97,clear sky,42.2506,-75.833,Chenango Valley State Park
303,Scharbeutz,DE,54.34,few clouds,54.0333,10.75,Maritim Seehotel Timmendorfer Strand
304,Ulundi,ZA,68.94,clear sky,-28.3352,31.4162,Ekhethelo Lodge Ulundi
305,Plonsk,PL,53.76,overcast clouds,52.6235,20.3755,Hotel Martex
306,Chapais,CA,58.78,broken clouds,49.7834,-74.8492,Hôtel Opémiska
307,Leh,IN,52.18,scattered clouds,34.1667,77.5833,Hotel Ladakh Greens
310,Hohhot,CN,61.09,clear sky,40.8106,111.6522,Sheraton Hohhot Hotel
311,Fukue,JP,72.93,few clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
312,Ancona,IT,65.84,broken clouds,43.55,13.1667,Casa Vandina - B&B
314,Untsukul,RU,62.2,broken clouds,42.7115,46.7866,Gostevoy Dom
315,Cotacachi,EC,69.35,light rain,0.3,-78.2667,La Mirage Garden Hotel And Spa
317,Tanout,NE,78.75,light rain,14.9709,8.8879,
319,Muros,ES,65.08,overcast clouds,42.7762,-9.0603,Apartment Av. Castelao
322,Nagato,JP,68.88,clear sky,34.3833,131.2,いそう庵
325,Monzon,ES,67.06,clear sky,41.9108,0.1941,Hotel Masmonzón
327,Shimoda,JP,70.11,clear sky,34.6667,138.95,Shimoda Tokyu Hotel
328,Rantepao,ID,65.91,broken clouds,-2.9701,119.8978,Hotel Luta Resort
329,Bonavista,CA,54.86,few clouds,48.6499,-53.1147,Sweet Sharons bnb
331,Seoul,KR,60.4,fog,37.5683,126.9778,LOTTE HOTEL SEOUL
333,Frolovo,RU,62.89,overcast clouds,49.7713,43.6622,Gostinitsa Frolovo
334,Abashiri,JP,57.94,clear sky,44.0213,144.2697,Tōyoko Inn Hokkaidō Okhotsk Abashiri Ekimae
335,Tura,IN,75.6,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
336,Pacific Grove,US,75.38,scattered clouds,36.6177,-121.9166,Lovers Point Inn
337,Broken Hill,AU,59.05,scattered clouds,-31.95,141.4333,Royal Exchange Hotel
340,Sitka,US,55.29,moderate rain,57.0531,-135.33,Westmark Sitka
341,Springbok,ZA,55.26,broken clouds,-29.6643,17.8865,Undulata Country Lodge
342,Payo,ID,73.24,scattered clouds,-3.7508,103.6372,Mess keban agung
343,Waingapu,ID,79.72,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
346,Quatre Cocos,MU,69.91,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
348,Sainte-Thecle,CA,60.85,clear sky,46.8168,-72.4991,Camping Lac et Forêt
350,Jumla,NP,55.98,broken clouds,29.2747,82.1838,Royal Garden Hotel
351,Atakpame,TG,71.76,overcast clouds,7.5333,1.1333,Leader Hôtel
352,Abapo,BO,75.9,overcast clouds,-18.8333,-63.4667,
355,Moerai,PF,73.04,overcast clouds,-22.4333,-151.3333,Le Manotel
357,Yanliang,CN,70.79,overcast clouds,34.6592,109.2292,Pod Inn Xi'an Yanliang Renmin Road
358,Luena,AO,71.78,broken clouds,-11.7833,19.9167,Hotel Kandamba
359,Kerouane,GN,75.04,moderate rain,9.2667,-9.0167,Hotel Seka Seka
360,Kabalo,CD,76.66,broken clouds,-6.05,26.9167,
362,Lusambo,CD,71.89,broken clouds,-4.9667,23.45,
363,Sungaipenuh,ID,64.76,overcast clouds,-2.0833,101.3833,Penginapan Citra Alam
364,Aloleng,PH,79.34,overcast clouds,16.1307,119.7824,Steve Walden and Emma Sison-Walden Residence
365,Mancio Lima,BR,73.47,overcast clouds,-7.6142,-72.8958,Motel Asas Do Desejo
366,Saint-Quentin,FR,57.29,broken clouds,49.8333,3.3333,ibis Saint-Quentin Basilique
368,Matara,LK,77.77,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
369,Shunyi,CN,67.95,clear sky,40.125,116.6453,Beijing Mingchen Holiday Hotel
373,San Quintin,MX,74.07,few clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
374,Lokoja,NG,77.43,broken clouds,7.8024,6.743,Hotel Charvid
375,Villamontes,BO,78.24,broken clouds,-21.25,-63.5,Hotel Raldes
376,Meulaboh,ID,75.97,light rain,4.1363,96.1285,Kost Pria
377,Goderich,CA,59.32,clear sky,43.7501,-81.7165,Harmony Inn
378,Jieshi,CN,78.78,overcast clouds,22.8134,115.8257,Yuehai Hotel
379,Port Macquarie,AU,57.88,light rain,-31.4333,152.9167,Rydges Port Macquarie
380,Margate,GB,58.89,moderate rain,51.3813,1.3862,Premier Inn Margate hotel
382,Antofagasta,CL,60.08,clear sky,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
383,Port-Cartier,CA,55.08,scattered clouds,50.0334,-66.8654,Le Q'Artier
385,Clyde,US,64.9,few clouds,41.3042,-82.9752,Red Roof Inn Clyde
387,Faya,SA,66.31,clear sky,18.3851,42.4509,شيلة نسايم
391,Muroto,JP,74.35,clear sky,33.2833,134.15,Oota Ryokan
392,Hervey Bay,AU,61.02,overcast clouds,-25.2986,152.8535,Shelly Bay Resort
394,Aljezur,PT,64.26,scattered clouds,37.3191,-8.8033,Amazigh Hostel
395,Vila Franca Do Campo,PT,75.2,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
396,Lingao,CN,79.18,overcast clouds,19.9103,109.6859,Lingao Ditai Inn
397,Shitanjing,CN,65.55,overcast clouds,39.2342,106.3439,Yingbin Hotel
398,Los Llanos De Aridane,ES,71.13,broken clouds,28.6585,-17.9182,Valle Aridane
399,Bahia Blanca,AR,74.77,scattered clouds,-38.7196,-62.2724,Hotel Argos
400,Rexburg,US,57.42,few clouds,43.826,-111.7897,AmericInn by Wyndham Rexburg BYUI
402,Manokwari,ID,79.56,moderate rain,-0.8667,134.0833,Swiss Belhotel Manokwari
403,Paita,PE,69.46,few clouds,-5.0892,-81.1144,Hotel Náutico de Paita
405,Abbeville,FR,60.76,light rain,50.1,1.8333,Hôtel Mercure Abbeville Centre - Porte de la Baie de Somme
408,Flinders,AU,55.18,overcast clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
410,Port Hardy,CA,53.78,mist,50.6996,-127.4199,Airport Inn-Port Hardy
411,Bud,US,68.41,clear sky,39.447,-86.1758,Ted McQuinn Trust
413,Richards Bay,ZA,72.5,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
414,Huilong,CN,73.92,broken clouds,31.8111,121.655,Hilton Garden Inn Qidong
415,Caribou,US,64.02,clear sky,46.8606,-68.012,Crown Park Inn Caribou
416,Padang,ID,77.95,overcast clouds,-0.9492,100.3543,Mercure Padang
417,Pelagiada,RU,69.35,clear sky,45.2064,42.0236,
419,Komsomolskiy,UZ,66.92,overcast clouds,40.4272,71.7189,Ikathouse
420,Poum,NC,73.65,broken clouds,-20.2333,164.0167,
421,Houma,US,78.01,clear sky,29.5958,-90.7195,Courtyard by Marriott Houma
422,Xining,CN,51.76,overcast clouds,36.6167,101.7667,Super Leisure Hotel
423,Faanui,PF,77.47,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
425,Balikpapan,ID,77.99,few clouds,-1.2675,116.8289,Swiss-Belhotel Balikpapan
426,Portland,US,62.91,broken clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
431,Nedryhayliv,UA,60.91,overcast clouds,50.834,33.8763,Staryi Mlyn
432,Canton,CN,76.95,overcast clouds,23.1167,113.25,Shangjiuwan Hotel
433,Chatham,GB,57.22,moderate rain,51.3789,0.5279,King Charles Hotel in Kent
436,Honiara,SB,76.14,few clouds,-9.4333,159.95,Heritage Park Hotel
437,Ergani,TR,74.37,clear sky,38.2653,39.7621,Serkan Hotel
438,Kendari,ID,75.92,broken clouds,-3.945,122.4989,Hotel Wixel
440,Brovary,UA,61.83,overcast clouds,50.5,30.7667,Grand Sport Hotel
441,Bambanglipuro,ID,77.04,overcast clouds,-7.95,110.2833,Puri Brata
442,Obama,JP,65.95,clear sky,35.4958,135.746,Sekumiya
443,Puerto Madryn,AR,61.95,overcast clouds,-42.7692,-65.0385,Hotel Tolosa
444,Asau,RO,60.28,scattered clouds,46.4333,26.4,Casa Mika Ciobanus
445,Rafaela,AR,79.0,clear sky,-31.2503,-61.4867,Parra Hotel & Suites
